topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Seychelles,0.09405326151542591,0.262728522430355,0.21064969047240403,0.6731409080191252,12.0
Slovakia,-0.39939748993429636,0.968466348074473,-0.33524025953869996,0.3602404879351519,14.0
Slovenia,-0.37348377004228756,1.0480478687004422,0.006106736641856625,0.31371904531331424,5.0
South Africa,1.8110013416369513,1.0,0.19933872018417143,1.0,1.0
South Korea,0.055718755190424026,1.382238191441993,0.12685766232911944,0.5779053561297096,16.0
Spain,0.10124417960782839,0.6840677951170475,-0.04463877422297994,0.8300160666551893,25.0
Sri Lanka,-0.36592509705469783,0.7783057514486291,-0.34599066179147897,0.6287757836965991,7.0
Sudan,-0.33754107214171725,1.0,-0.24943123538690493,1.0,1.0
Sweden,-0.567101015090078,1.0,-0.05517610867683957,1.0,1.0
Switzerland,0.29112201064936327,1.1840770456077025,-0.01826365526497693,1.146152615200865,34.0
Syria,-0.4099876938250882,0.4728767848727634,0.40994214660433853,0.8838409578740662,3.0
Taiwan,0.7701257151347547,1.2581621450918674,0.3664117473167744,0.9620122659322494,4.0
Tajikistan,0.24733217831267212,1.0,-0.3399180369289783,1.0,1.0
Thailand,0.8854568631987433,1.2107047017516193,-0.058204117635810765,0.3312893292552702,2.0
The Netherlands,-0.19780461924098341,1.4120526026159779,0.02679518079294425,0.7092197746244133,10.0
Turkey,-0.256463007923541,0.7540990033738251,0.025640675020345137,1.1140949809355347,29.0
Ukraine,-0.1851562230935924,0.8900210589497581,-0.011094163911489806,1.0739046486391348,190.0
United Arab Emirates,-0.10992994992577783,0.7661224871592303,-0.06661146384133407,0.7495074965616968,20.0
United Kingdom,0.08091941048860743,1.2115456861126455,0.4395278836081907,1.2694821653811263,8.0
United States,0.15899898643230861,1.076806774954109,-0.07498993302965341,0.5740205912107694,44.0
Uruguay,-0.27287749320588195,0.5461845888270812,0.31212650797842356,0.3235624105614827,2.0
Vatican,0.07065961367209858,0.6462923165954827,-0.17573921724962285,0.5521055208260249,11.0
Venezuela,-0.36320731167841686,1.053738497000956,-0.49737281470387473,0.6296784113768964,4.0
Yemen,0.14664373787904572,1.2613452419887898,0.07210164231200458,0.5279260228769512,5.0
