,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Américains,Américains,LOC,-0.071,0.195,fr,2,,,,,,,,,,
Hollywood,Hollywood,LOC,0.10187500000000001,0.378125,fr,2,,,,,,,,,,
Reims,Reims,LOC,0.0037500000000000033,0.45624999999999993,fr,2,,,,,,,,,,
SEOUL,SEOUL,LOC,0.26285714285714284,0.16,fr,2,,,,,,,,,,
COPENHAGUE,COPENHAGUE,LOC,0.26285714285714284,0.16,fr,2,,,,,,,,,,
Big Bets,Big Bets,LOC,0.09166666666666667,0.08333333333333333,fr,2,,,,,,,,,,
Zaporijia,Zaporijia,LOC,0.06087500000000001,0.115625,fr,2,,,,,,,,,,
Tchernobyl,Tchernobyl,LOC,0.06712500000000002,0.1625,fr,2,,,,,,,,,,
Torrance,Torrance,LOC,-0.15,0.275,fr,2,,,,,,,,,,
Le Pentagone,Le Pentagone,LOC,0.12291666666666667,0.1875,fr,2,,,,,,,,,,
Skoda,Skoda,LOC,0.185,0.18,fr,2,,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,LOC,0.028000000000000004,0.13499999999999998,fr,2,,,,,,,,,,
Surfshark,Surfshark,LOC,0.07454545454545453,0.1636363636363636,fr,2,,,,,,,,,,
Haute,Haute,LOC,0.185,0.05,fr,2,,,,,,,,,,
Ramallah,Ramallah,LOC,0.04875000000000001,0.15125,fr,2,,,,,,,,,,
Brexit,Brexit,LOC,0.0,0.0,fr,2,,,,,,,,,,
Evian-les-Bains,Evian-les-Bains,LOC,0.185,0.05,fr,2,,,,,,,,,,
Pays-Bas,Pays-Bas,LOC,0.023055555555555548,0.20069444444444445,fr,2,,,,,,,,,,
Baltique,Baltique,LOC,-0.049999999999999996,0.18,fr,2,,,,,,,,,,
Novossibirsk,Novossibirsk,LOC,0.110875,0.1915625,fr,2,,,,,,,,,,
Nimitz,Nimitz,LOC,0.06299999999999999,0.09,fr,2,,,,,,,,,,
AFC,AFC,LOC,-0.09125000000000001,0.0625,fr,2,,,,,,,,,,
M23,M23,LOC,-0.09125000000000001,0.0625,fr,2,,,,,,,,,,
RD Congo,RD Congo,LOC,0.150625,0.159375,fr,2,,,,,,,,,,
Zaporijjia,Zaporijjia,LOC,0.01583333333333333,0.1333333333333333,fr,2,,,,,,,,,,
Cyclisme,Cyclisme,LOC,0.12333333333333332,0.19583333333333333,fr,2,,,,,,,,,,
Union,Union,LOC,0.101875,0.128125,fr,2,,,,,,,,,,
la Terre,la Terre,LOC,-0.24700000000000003,0.26,fr,2,,,,,,,,,,
brÃ,brÃ,LOC,-0.24700000000000003,0.26,fr,2,,,,,,,,,,
Grenoble,Grenoble,LOC,0.31499999999999995,0.3,fr,2,,,,,,,,,,
Seine-et-Marne,Seine-et-Marne,LOC,0.31272727272727274,0.33636363636363636,fr,2,,,,,,,,,,
Marseille,Marseille,LOC,0.1304761904761905,0.04285714285714285,fr,2,,,,,,,,,,
Circana,Circana,LOC,0.096,0.22999999999999998,fr,2,,,,,,,,,,
Villeneuve-le-Comte,Villeneuve-le-Comte,LOC,0.31272727272727274,0.33636363636363636,fr,2,,,,,,,,,,
Los Angeles,Los Angeles,LOC,-0.15,0.275,fr,2,,,,,,,,,,
Française Monroe,Française Monroe,LOC,0.14930555555555558,0.2263888888888889,fr,2,,,,,,,,,,
Shakira,Shakira,LOC,0.028000000000000004,0.13499999999999998,fr,2,,,,,,,,,,
T1,T1,LOC,0.43999999999999995,0.26666666666666666,fr,2,,,,,,,,,,
Croisette,Croisette,LOC,0.09000000000000001,0.13333333333333333,fr,2,,,,,,,,,,
Mobupps,Mobupps,LOC,0.03333333333333333,0.08333333333333333,fr,2,,,,,,,,,,
Peacock Valley,Peacock Valley,LOC,0.0,0.0,fr,2,,,,,,,,,,
AP,AP,LOC,-0.08833333333333335,0.13333333333333333,fr,2,,,,,,,,,,
Shahed,Shahed,LOC,-0.09666666666666666,0.06666666666666667,fr,2,,,,,,,,,,
Golfe persique,Golfe persique,LOC,0.06833333333333334,0.38333333333333336,fr,2,,,,,,,,,,
Tass,Tass,LOC,-0.03698412698412698,0.16150793650793652,fr,2,,,,,,,,,,
Ruhr,Ruhr,LOC,0.16909090909090907,0.22545454545454546,fr,2,,,,,,,,,,
Forte performance,Forte performance,LOC,0.43999999999999995,0.26666666666666666,fr,2,,,,,,,,,,
Athénée royal d'Auderghem,Athénée royal d'Auderghem,LOC,0.25250000000000006,0.2125,fr,2,,,,,,,,,,
Sinwar,Sinwar,LOC,0.025,0.1,fr,2,,,,,,,,,,
Berchem,Berchem,LOC,0.25250000000000006,0.2125,fr,2,,,,,,,,,,
Modène,Modène,LOC,0.17333333333333334,0.3666666666666667,fr,2,,,,,,,,,,
pays des Roses,pays des Roses,LOC,0.23625000000000002,0.18250000000000002,fr,2,,,,,,,,,,
Anthropic,Anthropic,LOC,-0.075,0.20700000000000002,fr,2,,,,,,,,,,
Briansk,Briansk,LOC,0.01666666666666667,0.10833333333333334,fr,2,,,,,,,,,,
Ushuaïa,Ushuaïa,LOC,0.0,0.0,fr,2,,,,,,,,,,
Canaries,Canaries,LOC,0.00875,0.1875,fr,2,,,,,,,,,,
Rio Branco,Rio Branco,LOC,0.20600000000000002,0.22800000000000004,fr,2,,,,,,,,,,
État amazonien d'Acre,État amazonien d'Acre,LOC,0.20600000000000002,0.22800000000000004,fr,2,,,,,,,,,,
Floride,Floride,LOC,0.16999999999999998,0.41500000000000004,fr,2,,,,,,,,,,
CBD,CBD,LOC,-1.982541115402065e-18,0.22857142857142856,fr,2,,,,,,,,,,
Montreux,Montreux,LOC,-0.045625000000000006,0.03125,fr,2,,,,,,,,,,
Boricuas,Boricuas,LOC,0.17,0.30000000000000004,fr,2,,,,,,,,,,
Française,Française,LOC,0.14930555555555558,0.2263888888888889,fr,2,,,,,,,,,,
concoursLes,concoursLes,LOC,-0.17714285714285713,0.12142857142857144,fr,2,,,,,,,,,,
Virton,Virton,LOC,0.05200000000000001,0.22999999999999998,fr,2,,,,,,,,,,
Signal,Signal,LOC,0.12125,0.07500000000000001,fr,2,,,,,,,,,,
Rhin,Rhin,LOC,0.150625,0.07916666666666666,fr,2,,,,,,,,,,
Ville de Seraing,Ville de Seraing,LOC,0.082,0.15,fr,2,,,,,,,,,,
cimetière de la Cense rouge,cimetière de la Cense rouge,LOC,0.082,0.15,fr,2,,,,,,,,,,
Barça,Barça,LOC,0.05916666666666667,0.19999999999999998,fr,2,,,,,,,,,,
Fabrice,Fabrice,LOC,0.1,0.275,fr,2,,,,,,,,,,
Jardins de Gaïa,Jardins de Gaïa,LOC,0.18000000000000002,0.08333333333333333,fr,2,,,,,,,,,,
Liga,Liga,LOC,0.35624999999999996,0.5,fr,2,,,,,,,,,,
HDR10,HDR10,LOC,0.38000000000000006,0.2916666666666667,fr,2,,,,,,,,,,
Zelensky,Zelensky,LOC,0.053000000000000005,0.45,fr,2,,,,,,,,,,
Reolink,Reolink,LOC,0.10999999999999999,0.075,fr,2,,,,,,,,,,
4K,4K,LOC,0.10999999999999999,0.075,fr,2,,,,,,,,,,
TitleNoTags,TitleNoTags,LOC,0.20777777777777778,0.3166666666666667,fr,2,,,,,,,,,,
Cachemire,Cachemire,LOC,0.1475,0.1,fr,2,,,,,,,,,,
KLM,KLM,LOC,0.14333333333333334,0.15833333333333335,fr,2,,,,,,,,,,
mer Baltique,mer Baltique,LOC,-0.01154761904761905,0.1273809523809524,fr,2,,,,,,,,,,
Hexagone,Hexagone,LOC,0.10833333333333332,0.22499999999999998,fr,2,,,,,,,,,,
Savoie,Savoie,LOC,0.185,0.05,fr,2,,,,,,,,,,
Casa del Papel,Casa del Papel,LOC,0.145,0.36,fr,2,,,,,,,,,,
Lundi,Lundi,LOC,-0.011000000000000001,0.018750000000000003,fr,2,,,,,,,,,,
Lougansk,Lougansk,LOC,-0.0920138888888889,0.11041666666666666,fr,2,,,,,,,,,,
Pays baltes,Pays baltes,LOC,-0.06333333333333332,0.26666666666666666,fr,2,,,,,,,,,,
Béziers,Béziers,LOC,0.16666666666666666,0.10000000000000002,fr,2,,,,,,,,,,
centrale de Tchernobyl,centrale de Tchernobyl,LOC,0.03900000000000001,0.13333333333333336,fr,2,,,,,,,,,,
Valdaï,Valdaï,LOC,0.13,0.18333333333333335,fr,2,,,,,,,,,,
parc national de Torotoro,parc national de Torotoro,LOC,0.048571428571428564,0.08571428571428572,fr,2,,,,,,,,,,
kraï de Krasnodar,kraï de Krasnodar,LOC,0.08183035714285714,0.06928571428571428,fr,2,,,,,,,,,,
Krasnodar,Krasnodar,LOC,0.020000000000000004,0.11071428571428571,fr,2,,,,,,,,,,
Anapa,Anapa,LOC,0.10428571428571429,0.07857142857142856,fr,2,,,,,,,,,,
Bruges,Bruges,LOC,0.12222222222222223,0.2111111111111111,fr,2,,,,,,,,,,
De Galhau,De Galhau,LOC,-0.022857142857142854,0.13571428571428573,fr,2,,,,,,,,,,
Larmée,Larmée,LOC,0.15725,0.14375,fr,2,,,,,,,,,,
Vance,Vance,LOC,0.14875,0.245,fr,2,,,,,,,,,,
Nuclear,Nuclear,LOC,0.176,0.304,fr,2,,,,,,,,,,
Suédois,Suédois,LOC,0.15722222222222226,0.3111111111111111,fr,2,,,,,,,,,,
